id,hhb,hbo2,ca,na
10000,8.174190384259221,4.047484753384066,9.10760368058126,3.066468683715585
10001,8.173878111625607,4.045770643306794,9.11028199494183,3.066145392110241
10002,8.009926657165378,4.047022158252645,8.997146073421249,3.0735137102494363
10003,7.9970241509697635,4.059058750965006,8.96237713471634,3.109865745819622
10004,8.174750112133417,4.0475855290573834,9.108061465069921,3.0663980516704075
10005,8.174538417460926,4.047363448599267,9.108035662454908,3.0669930884593524
10006,8.174780169689292,4.04753464827859,9.108293448127535,3.066428299874337
10007,8.174750119027873,4.047585764076654,9.108060460151082,3.0663977828783477
10008,8.174742822590316,4.0475835866953345,9.108061920120395,3.0663982746917733
10009,8.17475012964239,4.047585761129082,9.108060472127622,3.0663977755711245
10010,8.36884584221715,3.9246820579602515,8.984196260080862,3.046359124956881
10011,8.207006862109145,3.914393022152989,7.781384971321217,3.2611629696367346
10012,8.1757031606674,4.047042112287912,9.10811986653593,3.0666005362677295
10013,8.174749945481976,4.047583614765739,9.10805980043767,3.0663977650496497
10014,7.703006069146111,4.029833501492751,9.107772183533381,2.9689150245266913
10015,8.174726978036714,4.04757265920101,9.108090998046215,3.066406078306828
10016,8.441462292813734,3.8716621650740226,9.060744831077026,2.994440929498365
10017,8.158045125541488,3.92031815214015,8.937151817940101,2.99597767284857
10018,8.174749728923517,4.0475858587724876,9.108061203104064,3.066397795166504
10019,8.174746314119876,4.047563369950838,9.108109838681571,3.066399509511536
10020,8.174750130368377,4.04758576371702,9.108060439918312,3.0663977727479734
10021,8.092264113382116,3.9651692944665937,9.0950662895069,2.9647351657211325
10022,8.174884134956713,4.047503888081858,9.108061260123732,3.0664111477571767
10023,8.174750103571743,4.047585753937694,9.108060479474384,3.0663977918728382
10024,8.174750123701127,4.0475857595450755,9.10806044758782,3.0663977899218113
10025,8.174750653079919,4.047585580763115,9.108061863232908,3.066398313374222
10026,7.868214567772775,3.968858277745813,8.074039262227558,3.023613805686767
10027,8.174750122211886,4.04758576659389,9.108060452104104,3.066397782390092
10028,8.174747097682408,4.047585921930088,9.108058095382018,3.066398152669757
10029,7.487569729974869,3.811252968690665,8.769725844573085,3.143538250611486
10030,8.174748450170062,4.047585022825412,9.108061549596622,3.06639838979626
10031,8.174727641068909,4.04758045384917,9.108044317478162,3.066397740118571
10032,8.174756374560934,4.0475622849557364,9.108067133595352,3.0663919255578653
10033,8.174931062066392,4.047119077518418,9.108935789395943,3.067413766380559
10034,8.273573122777814,3.9754609154611544,8.338015155507222,3.1929736967685156
10035,8.170941554699416,4.046145045017141,9.111888106190209,3.0677642391705398
10036,8.175212469368152,4.047121476846667,9.109562469030516,3.0668896342302547
10037,8.174735625928898,4.047578954304649,9.10806475513021,3.066405875826546
10038,8.174750430185261,4.047585009527941,9.108065265698398,3.0663986796835183
10039,8.17475029563205,4.047585725035842,9.108060554849757,3.0663977675446326
10040,8.174670830065873,4.047582862814034,9.10816327486189,3.0664121845127847
10041,8.173996782866974,4.046380848407073,9.109136296683278,3.0666798840612
